Distance to edge[mm];ERF values;PSF values;
-0,27221;0,00807741;0,173752;
-0,271878;0,00854758;0,153417;
-0,271547;0,00894628;0,144735;
-0,271215;0,00946128;0,136507;
-0,270883;0,0104937;0,128692;
-0,270551;0,010396;0,122118;
-0,27022;0,00954157;0,115298;
-0,269888;0,0097648;0,108597;
-0,269556;0,0105028;0,101861;
-0,269224;0,00998273;0,0957013;
-0,268893;0,00914459;0,0901947;
-0,268561;0,00824858;0,0846552;
-0,268229;0,00734541;0,0798046;
-0,267897;0,00677168;0,0746978;
-0,267566;0,00656384;0,0697623;
-0,267234;0,00693726;0,0650808;
-0,266902;0,00548757;0,0610569;
-0,26657;0,00514309;0,057694;
-0,266238;0,00465308;0,0555943;
-0,265907;0,00466583;0,0545873;
-0,265575;0,00484659;0,0553861;
-0,265243;0,00441194;0,0572179;
-0,264911;0,00373737;0,060111;
-0,26458;0,00357674;0,0634619;
-0,264248;0,00361978;0,0676119;
-0,263916;0,00286736;0,0719875;
-0,263584;0,00234842;0,0782502;
-0,263253;0,00210943;0,0849609;
-0,262921;0,00307842;0,0927492;
-0,262589;0,00283227;0,100956;
-0,262257;0,00225088;0,109985;
-0,261926;0,000947933;0,119483;
-0,261594;0,000573945;0,128858;
-0,261262;0,000734799;0,137506;
-0,26093;0,00132779;0,145843;
-0,260599;0,00047103;0,153893;
-0,260267;0,000340614;0,162072;
-0,259935;0,000321636;0,17034;
-0,259603;0,000425266;0,178797;
-0,259272;0,000243357;0,186386;
-0,25894;0,00169462;0,19406;
-0,258608;0,00270157;0,200979;
-0,258276;0,00486471;0,206752;
-0,257944;0,00540901;0,211791;
-0,257613;0,00598653;0,216544;
-0,257281;0,00730279;0,220117;
-0,256949;0,00706237;0,223224;
-0,256617;0,00668509;0,225204;
-0,256286;0,00715863;0,225961;
-0,255954;0,00811286;0,225639;
-0,255622;0,00877175;0,224598;
-0,25529;0,00874367;0,222372;
-0,254959;0,00981221;0,218261;
-0,254627;0,0107743;0,213716;
-0,254295;0,012181;0,208794;
-0,253963;0,0122097;0,202977;
-0,253632;0,0129558;0,196635;
-0,2533;0,0129975;0,189108;
-0,252968;0,012929;0,18052;
-0,252636;0,0124612;0,171396;
-0,252305;0,013495;0,162202;
-0,251973;0,0149494;0,15181;
-0,251641;0,0153114;0,140965;
-0,251309;0,0140293;0,130695;
-0,250977;0,0134181;0,119564;
-0,250646;0,0127119;0,108032;
-0,250314;0,0133214;0,0970806;
-0,249982;0,0128277;0,0868981;
-0,24965;0,0129865;0,0773615;
-0,249319;0,0132457;0,0686814;
-0,248987;0,0121001;0,0599486;
-0,248655;0,0120798;0,0518812;
-0,248323;0,0122048;0,0446108;
-0,247992;0,0115781;0,0377038;
-0,24766;0,0111046;0,031871;
-0,247328;0,0103438;0,0278072;
-0,246996;0,00987538;0,0253729;
-0,246665;0,00923676;0,0240834;
-0,246333;0,008652;0,0245748;
-0,246001;0,00874733;0,0272266;
-0,245669;0,00798352;0,0311291;
-0,245338;0,00698553;0,036305;
-0,245006;0,00639855;0,0422769;
-0,244674;0,00380305;0,0500642;
-0,244342;0,00286306;0,0591244;
-0,24401;0,00230667;0,0692987;
-0,243679;0,00236102;0,0791264;
-0,243347;0,00139368;0,0898867;
-0,243015;0,00156907;0,100772;
-0,242683;0,000574446;0,111619;
-0,242352;0;0,122769;
-0,24202;0,00108673;0,135123;
-0,241688;0,00227329;0,147809;
-0,241356;0,00276452;0,160209;
-0,241025;0,00393289;0,171863;
-0,240693;0,00394693;0,183695;
-0,240361;0,00413185;0,195026;
-0,240029;0,00409575;0,204646;
-0,239698;0,00472276;0,213365;
-0,239366;0,00536274;0,221075;
-0,239034;0,00582188;0,226809;
-0,238702;0,00718778;0,231959;
-0,238371;0,00837935;0,234696;
-0,238039;0,00921363;0,236045;
-0,237707;0,0102247;0,236386;
-0,237375;0,010706;0,234977;
-0,237043;0,0114298;0,231897;
-0,236712;0,012123;0,227134;
-0,23638;0,0126446;0,220607;
-0,236048;0,0128957;0,213025;
-0,235716;0,0129098;0,204401;
-0,235385;0,0124719;0,196336;
-0,235053;0,0125373;0,188173;
-0,234721;0,0145521;0,179607;
-0,234389;0,0156726;0,17026;
-0,234058;0,0161132;0,159506;
-0,233726;0,0156301;0,14728;
-0,233394;0,0150505;0,135741;
-0,233062;0,0146704;0,124771;
-0,232731;0,0145681;0,11285;
-0,232399;0,0152994;0,100956;
-0,232067;0,0150737;0,0886056;
-0,231735;0,0143932;0,0763038;
-0,231404;0,0134297;0,0646158;
-0,231072;0,0133846;0,0543328;
-0,23074;0,0136899;0,045869;
-0,230408;0,0128769;0,0386785;
-0,230077;0,0127374;0,0327927;
-0,229745;0,0113271;0,0289192;
-0,229413;0,0118672;0,0261702;
-0,229081;0,0115246;0,0242466;
-0,228749;0,0102733;0,0234796;
-0,228418;0,00996168;0,0243019;
-0,228086;0,00954149;0,026582;
-0,227754;0,0082788;0,0294892;
-0,227422;0,00785518;0,0334679;
-0,227091;0,00693339;0,0382791;
-0,226759;0,00559958;0,0452178;
-0,226427;0,0046409;0,0535529;
-0,226095;0,00325553;0,0640867;
-0,225764;0,00202134;0,075531;
-0,225432;0,000719759;0,0873227;
-0,2251;0,00169032;0,0992856;
-0,224768;0,0023621;0,111314;
-0,224437;0,00217639;0,124836;
-0,224105;0,00236074;0,139008;
-0,223773;0,00323541;0,15319;
-0,223441;0,00297028;0,166584;
-0,22311;0,00425145;0,178891;
-0,222778;0,00454343;0,190029;
-0,222446;0,0056056;0,201023;
-0,222114;0,00596383;0,210949;
-0,221782;0,00636159;0,219969;
-0,221451;0,0070497;0,227423;
-0,221119;0,00791792;0,233103;
-0,220787;0,00828245;0,237349;
-0,220455;0,00880591;0,240992;
-0,220124;0,00979252;0,242804;
-0,219792;0,0107457;0,24319;
-0,21946;0,0108606;0,241619;
-0,219128;0,011501;0,238541;
-0,218797;0,0129405;0,233021;
-0,218465;0,0138661;0,226436;
-0,218133;0,0152169;0,218237;
-0,217801;0,0151045;0,208852;
