[mm⁻¹];MTF values[%];MTF 10 values[%];
0;100;10;
1,75446;92,33;10;
3,50892;69,3756;10;
5,26338;49,8074;10;
7,01784;31,0414;10;
8,7723;21,6046;10;
10,5268;12,3882;10;
12,2812;7,60358;10;
14,0357;3,45778;10;
15,7901;2,67745;10;
17,5446;0,932958;10;
19,2991;1,72742;10;
21,0535;2,26047;10;
22,808;3,05634;10;
24,5624;1,35405;10;
26,3169;1,62975;10;
28,0714;0,382733;10;
29,8258;2,87417;10;
31,5803;1,78522;10;
33,3347;4,10063;10;
35,0892;2,25689;10;
36,8437;3,74838;10;
38,5981;4,87679;10;
40,3526;0,591595;10;
42,107;1,90021;10;
43,8615;0,381963;10;
45,616;2,28953;10;
47,3704;0,553574;10;
49,1249;0,60676;10;
50,8793;0,273287;10;
52,6338;0,242384;10;
54,3883;0,304399;10;
56,1427;0,394739;10;
57,8972;0,417799;10;
59,6516;0,139571;10;
61,4061;0,259114;10;
63,1605;0,168629;10;
64,915;0,21186;10;
66,6695;0,299708;10;
68,4239;0,368737;10;
70,1784;0,155956;10;
71,9328;0,586224;10;
73,6873;0,347809;10;
75,4418;0,0157448;10;
77,1962;0,194048;10;
78,9507;0,0737619;10;
80,7051;0,117063;10;
82,4596;0,105936;10;
84,2141;0,0932452;10;
85,9685;0,0929403;10;
87,723;0,0778489;10;
89,4774;0,0712072;10;
91,2319;0,0266636;10;
92,9864;0,101404;10;
94,7408;0,043165;10;
96,4953;0,100253;10;
98,2497;0,102094;10;
100,004;0,0207324;10;
101,759;0,0543426;10;
103,513;0,134338;10;
105,268;0,0752186;10;
107,022;0,164026;10;
108,777;0,118055;10;
110,531;0,00796171;10;
112,285;0,0818731;10;
114,04;0,0552324;10;
115,794;0,0543904;10;
117,549;0,0616326;10;
119,303;0,0249863;10;
121,058;0,0600789;10;
122,812;0,0328798;10;
124,567;0,0764379;10;
126,321;0,0329622;10;
128,076;0,0478716;10;
129,83;0,0438661;10;
131,584;0,0503627;10;
133,339;0,141085;10;
135,093;0,0361757;10;
136,848;0,0737513;10;
138,602;0,0369617;10;
140,357;0,139622;10;
142,111;0,0602349;10;
143,866;0,0346601;10;
145,62;0,0567422;10;
147,375;0,0538527;10;
149,129;0,0485692;10;
150,884;0,0232239;10;
152,638;0,0383245;10;
154,392;0,020531;10;
156,147;0,0582605;10;
157,901;0,0598891;10;
159,656;0,0481135;10;
161,41;0,0481175;10;
163,165;0,0609482;10;
164,919;0,0629314;10;
166,674;0,026386;10;
168,428;0,0953548;10;
170,183;0,0119134;10;
171,937;0,0379961;10;
173,692;0,0269742;10;
175,446;0,0389074;10;
177,2;0,0345219;10;
178,955;0,0358719;10;
180,709;0,0517406;10;
182,464;0,0282657;10;
184,218;0,0362422;10;
185,973;0,059812;10;
187,727;0,0549852;10;
